TextTranslate,Year,Full-time Enrolments to Third Level Courses (Number),Part-time Enrolments to Third Level Courses (Number)
Aided technology sector," ""2000"""," ""None"""," ""None"""
Aided technology sector," ""2001"""," ""None"""," ""None"""
Aided technology sector," ""2002"""," ""None"""," ""None"""
Aided technology sector," ""2003"""," ""None"""," ""None"""
Aided technology sector," ""2004"""," ""None"""," ""None"""
Aided technology sector," ""2005"""," ""None"""," ""None"""
Aided technology sector," ""2006"""," ""None"""," ""None"""
Aided technology sector," ""2007"""," ""None"""," ""None"""
Aided technology sector," ""2008"""," ""51572"""," ""15909"""
Aided technology sector," ""2009"""," ""54464"""," ""15025"""
Aided technology sector," ""2010"""," ""59832"""," ""15450"""
Aided technology sector," ""2011"""," ""62885"""," ""15495"""
Aided technology sector," ""2012"""," ""63874"""," ""15050"""
Aided technology sector," ""2013"""," ""65039"""," ""15866"""
Aided technology sector," ""2014"""," ""66490"""," ""17285"""
Aided technology sector," ""2015"""," ""68324"""," ""17897"""
Aided technology sector," ""2016"""," ""68570"""," ""19337"""
Aided university sector," ""2000"""," ""None"""," ""None"""
Aided university sector," ""2001"""," ""None"""," ""None"""
Aided university sector," ""2002"""," ""None"""," ""None"""
Aided university sector," ""2003"""," ""None"""," ""None"""
Aided university sector," ""2004"""," ""None"""," ""None"""
Aided university sector," ""2005"""," ""None"""," ""None"""
Aided university sector," ""2006"""," ""None"""," ""None"""
Aided university sector," ""2007"""," ""None"""," ""None"""
Aided university sector," ""2008"""," ""78577"""," ""14647"""
Aided university sector," ""2009"""," ""82298"""," ""14703"""
Aided university sector," ""2010"""," ""87623"""," ""13936"""
Aided university sector," ""2011"""," ""89273"""," ""13915"""
Aided university sector," ""2012"""," ""89928"""," ""15767"""
Aided university sector," ""2013"""," ""90341"""," ""16834"""
Aided university sector," ""2014"""," ""93023"""," ""15547"""
Aided university sector," ""2015"""," ""95120"""," ""15655"""
Aided university sector," ""2016"""," ""100793"""," ""15574"""
Athlone Institute of Technology," ""2000"""," ""3032"""," ""567"""
Athlone Institute of Technology," ""2001"""," ""3142"""," ""593"""
Athlone Institute of Technology," ""2002"""," ""3282"""," ""841"""
Athlone Institute of Technology," ""2003"""," ""3466"""," ""365"""
Athlone Institute of Technology," ""2004"""," ""3517"""," ""388"""
Athlone Institute of Technology," ""2005"""," ""3269"""," ""276"""
Athlone Institute of Technology," ""2006"""," ""3512"""," ""333"""
Athlone Institute of Technology," ""2007"""," ""3232"""," ""None"""
Athlone Institute of Technology," ""2008"""," ""2837"""," ""1341"""
Athlone Institute of Technology," ""2009"""," ""3030"""," ""1263"""
Athlone Institute of Technology," ""2010"""," ""3364"""," ""1207"""
Athlone Institute of Technology," ""2011"""," ""3695"""," ""1190"""
Athlone Institute of Technology," ""2012"""," ""3611"""," ""1015"""
Athlone Institute of Technology," ""2013"""," ""3748"""," ""1020"""
Athlone Institute of Technology," ""2014"""," ""3926"""," ""971"""
Athlone Institute of Technology," ""2015"""," ""3960"""," ""1036"""
Athlone Institute of Technology," ""2016"""," ""3758"""," ""1119"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2000"""," ""92"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2001"""," ""89"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2002"""," ""85"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2003"""," ""90"""," ""77"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2004"""," ""93"""," ""75"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2005"""," ""91"""," ""None"""
