TextTranslate,Year,Full-time Enrolments to Third Level Courses (Number),Part-time Enrolments to Third Level Courses (Number)
All colleges," ""2000"""," ""115696"""," ""31469"""
Higher Education Authority," ""2000"""," ""66914"""," ""11305"""
"National University of Ireland, Cork"," ""2000"""," ""11122"""," ""772"""
"National University of Ireland, Dublin"," ""2000"""," ""15088"""," ""3269"""
"National University of Ireland, Galway"," ""2000"""," ""8655"""," ""1126"""
"Trinity College, Dublin"," ""2000"""," ""10896"""," ""2866"""
"National University of Ireland, Maynooth"," ""2000"""," ""4028"""," ""614"""
Dublin City University," ""2000"""," ""6998"""," ""1174"""
University of Limerick," ""2000"""," ""9394"""," ""1476"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2000"""," ""None"""," ""None"""
"Mary Immaculate College of Education, Limerick"," ""2000"""," ""None"""," ""None"""
Institutes of Technology/Other Technology Colleges," ""2000"""," ""46424"""," ""16504"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2000"""," ""259"""," ""23"""
"National College of Art & Design, Dublin"," ""2000"""," ""733"""," ""8"""
Dublin Institute of Technology," ""2000"""," ""9642"""," ""5426"""
Athlone Institute of Technology," ""2000"""," ""3032"""," ""567"""
"Institute of Technology, Carlow"," ""2000"""," ""2360"""," ""429"""
Cork Institute of Technology," ""2000"""," ""5395"""," ""3148"""
Dundalk Institute of Technology," ""2000"""," ""2583"""," ""403"""
Galway - Mayo Institute of Technology," ""2000"""," ""4323"""," ""806"""
Letterkenny Institute of Technology," ""2000"""," ""1851"""," ""285"""
Limerick Institute of Technology," ""2000"""," ""3231"""," ""1495"""
"Institute of Technology, Sligo"," ""2000"""," ""2959"""," ""212"""
"Institute of Technology, Tallaght"," ""2000"""," ""2156"""," ""1565"""
"Institute of Technology, Tralee"," ""2000"""," ""2229"""," ""604"""
Waterford Institute of Technology," ""2000"""," ""5280"""," ""1351"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2000"""," ""696"""," ""46"""
"Institute of Technology, Blanchardstown"," ""2000"""," ""223"""," ""81"""
Tipperary Institute," ""2000"""," ""162"""," ""13"""
"Tourism College, Killybegs, Co. Donegal"," ""2000"""," ""302"""," ""73"""
Other colleges," ""2000"""," ""2358"""," ""3660"""
"Colaiste Mhuire, Marino, Dublin"," ""2000"""," ""262"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2000"""," ""92"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2000"""," ""180"""," ""None"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2000"""," ""289"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2000"""," ""101"""," ""None"""
National College of Ireland," ""2000"""," ""800"""," ""3612"""
"Pontifical College, Maynooth, Co. Kildare"," ""2000"""," ""375"""," ""25"""
"Milltown Institute, Ranelagh, Dublin"," ""2000"""," ""None"""," ""None"""
Aided university sector," ""2000"""," ""None"""," ""None"""
Aided technology sector," ""2000"""," ""None"""," ""None"""
Teacher education colleges," ""2000"""," ""None"""," ""None"""
Other third level education institutions aided by DES," ""2000"""," ""None"""," ""None"""
All colleges," ""2001"""," ""119991"""," ""32265"""
Higher Education Authority," ""2001"""," ""69254"""," ""11313"""
"National University of Ireland, Cork"," ""2001"""," ""11694"""," ""1200"""
"National University of Ireland, Dublin"," ""2001"""," ""14974"""," ""2936"""
"National University of Ireland, Galway"," ""2001"""," ""9267"""," ""1183"""
"Trinity College, Dublin"," ""2001"""," ""11039"""," ""2758"""
"National University of Ireland, Maynooth"," ""2001"""," ""4200"""," ""552"""
Dublin City University," ""2001"""," ""7464"""," ""1222"""
University of Limerick," ""2001"""," ""9852"""," ""1457"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2001"""," ""None"""," ""None"""
"Mary Immaculate College of Education, Limerick"," ""2001"""," ""None"""," ""None"""
Institutes of Technology/Other Technology Colleges," ""2001"""," ""48360"""," ""17700"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2001"""," ""268"""," ""56"""
"National College of Art & Design, Dublin"," ""2001"""," ""764"""," ""5"""
Dublin Institute of Technology," ""2001"""," ""9793"""," ""5747"""
Athlone Institute of Technology," ""2001"""," ""3142"""," ""593"""
"Institute of Technology, Carlow"," ""2001"""," ""2571"""," ""579"""
Cork Institute of Technology," ""2001"""," ""5615"""," ""3244"""
Dundalk Institute of Technology," ""2001"""," ""2355"""," ""568"""
Galway - Mayo Institute of Technology," ""2001"""," ""4376"""," ""698"""
Letterkenny Institute of Technology," ""2001"""," ""1951"""," ""251"""
Limerick Institute of Technology," ""2001"""," ""3436"""," ""1755"""
"Institute of Technology, Sligo"," ""2001"""," ""3017"""," ""513"""
"Institute of Technology, Tallaght"," ""2001"""," ""2465"""," ""1598"""
"Institute of Technology, Tralee"," ""2001"""," ""2346"""," ""257"""
Waterford Institute of Technology," ""2001"""," ""5443"""," ""1400"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2001"""," ""915"""," ""52"""
"Institute of Technology, Blanchardstown"," ""2001"""," ""478"""," ""156"""
Tipperary Institute," ""2001"""," ""184"""," ""222"""
"Tourism College, Killybegs, Co. Donegal"," ""2001"""," ""273"""," ""67"""
Other colleges," ""2001"""," ""2377"""," ""3252"""
"Colaiste Mhuire, Marino, Dublin"," ""2001"""," ""313"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2001"""," ""89"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2001"""," ""196"""," ""None"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2001"""," ""262"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2001"""," ""100"""," ""None"""
National College of Ireland," ""2001"""," ""795"""," ""3177"""
"Pontifical College, Maynooth, Co. Kildare"," ""2001"""," ""354"""," ""19"""
"Milltown Institute, Ranelagh, Dublin"," ""2001"""," ""None"""," ""None"""
Aided university sector," ""2001"""," ""None"""," ""None"""
Aided technology sector," ""2001"""," ""None"""," ""None"""
Teacher education colleges," ""2001"""," ""None"""," ""None"""
Other third level education institutions aided by DES," ""2001"""," ""None"""," ""None"""
All colleges," ""2002"""," ""124589"""," ""34965"""
Higher Education Authority," ""2002"""," ""72168"""," ""13826"""
"National University of Ireland, Cork"," ""2002"""," ""12001"""," ""1226"""
"National University of Ireland, Dublin"," ""2002"""," ""15316"""," ""4291"""
"National University of Ireland, Galway"," ""2002"""," ""10093"""," ""1485"""
"Trinity College, Dublin"," ""2002"""," ""11212"""," ""2905"""
"National University of Ireland, Maynooth"," ""2002"""," ""4510"""," ""606"""
Dublin City University," ""2002"""," ""8218"""," ""1459"""
University of Limerick," ""2002"""," ""10010"""," ""1830"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2002"""," ""None"""," ""None"""
