room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
5467431,1473,28355799,Shared room,,Dublin,,Dublin city and suburbs,30,4.5,4,1.0,,91.0,,2017-07-22 15:36:13.319203,53.405035,-6.214002,0101000020E6100000471D1D5723DB18C0205ED72FD8B34A40
18513390,1473,50271092,Shared room,,Dublin,,Dublin city and suburbs,2,0.0,3,1.0,,52.0,,2017-07-22 15:36:00.839114,53.350711,-6.241394,0101000020E610000070CD1DFD2FF718C079AC1919E4AC4A40
1322440,1473,7202989,Shared room,,Dublin,,Dublin city and suburbs,1,0.0,3,1.0,,59.0,,2017-07-22 15:36:00.836175,53.382228,-6.22899,0101000020E6100000B471C45A7CEA18C0C8CEDBD8ECB04A40
17395304,1473,117464939,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,4,1.0,,480.0,,2017-07-22 15:35:54.551486,53.358454,-6.258635,0101000020E610000062670A9DD70819C0698F17D2E1AD4A40
17785066,1473,121467697,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,6,1.0,,240.0,,2017-07-22 15:35:52.897530,53.344325,-6.266974,0101000020E61000007B87DBA1611119C0FC1873D712AC4A40
15899303,1473,94037946,Shared room,,Dublin,,Dublin city and suburbs,6,4.5,3,1.0,,192.0,,2017-07-22 15:35:49.179872,53.342124,-6.293449,0101000020E6100000F52C08E57D2C19C09E961FB8CAAB4A40
17698655,1473,7289423,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,180.0,,2017-07-22 15:35:46.263823,53.351972,-6.276468,0101000020E6100000E78F696D1A1B19C0CA8D226B0DAD4A40
12378800,1473,66901116,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,6,1.0,,168.0,,2017-07-22 15:35:46.259735,53.345697,-6.377925,0101000020E6100000FB5C6DC5FE8219C0A4A99ECC3FAC4A40
17615780,1473,107473466,Shared room,,Dublin,,Dublin city and suburbs,2,0.0,2,1.0,,144.0,,2017-07-22 15:35:42.102022,53.408879,-6.172057,0101000020E61000000531D0B52FB018C0B682A62556B44A40
15496988,1473,40031291,Shared room,,Dublin,,Dublin city and suburbs,2,0.0,2,1.0,,106.0,,2017-07-22 15:35:38.813146,53.344543,-6.237232,0101000020E6100000394206F2ECF218C06A882AFC19AC4A40
