room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
17907950,1445,122739876,Shared room,,PEEL,,MISSISSAUGA,0,0.0,2,1.0,,140.0,,2017-07-10 08:30:26.615664,43.594875,-79.636778,0101000020E6100000FD3383F8C0E853C0A01A2FDD24CC4540
14760019,1445,40791291,Shared room,,PEEL,,MISSISSAUGA,1,0.0,1,1.0,,80.0,,2017-07-10 08:30:23.394459,43.528054,-79.655896,0101000020E6100000F1643733FAE953C0D042024697C34540
19735051,1445,139144192,Shared room,,PEEL,,BRAMPTON,0,0.0,6,1.0,,80.0,,2017-07-10 08:30:23.391250,43.786154,-79.731994,0101000020E610000091B75CFDD8EE53C04FCFBBB1A0E44540
4590170,1445,1010044,Shared room,,PEEL,,MISSISSAUGA,7,4.5,1,1.0,,14.0,,2017-07-10 08:30:20.503593,43.640615,-79.729533,0101000020E610000094162EABB0EE53C0DC291DACFFD14540
9218625,1445,47936611,Shared room,,PEEL,,MISSISSAUGA,0,0.0,1,1.0,,16.0,,2017-07-10 08:30:20.501569,43.603578,-79.625815,0101000020E610000029965B5A0DE853C0E44A3D0B42CD4540
8166298,1445,23634295,Shared room,,PEEL,,MISSISSAUGA,6,4.5,1,1.0,,18.0,,2017-07-10 08:30:20.496191,43.601099,-79.594372,0101000020E61000001F6ADB300AE653C04354E1CFF0CC4540
19600897,1445,51826262,Shared room,,PEEL,,MISSISSAUGA,0,0.0,1,1.0,,27.0,,2017-07-10 08:30:20.494005,43.593549,-79.70017,0101000020E6100000FBE8D495CFEC53C069C9E369F9CB4540
19532568,1445,51974646,Shared room,,PEEL,,MISSISSAUGA,0,0.0,1,1.0,,20.0,,2017-07-10 08:30:20.489413,43.606021,-79.644831,0101000020E61000009B1C3EE944E953C038D89B1892CD4540
15789554,1445,180291,Shared room,,PEEL,,MISSISSAUGA,5,4.5,1,1.0,,20.0,,2017-07-10 08:30:20.486004,43.612671,-79.658149,0101000020E610000049B9FB1C1FEA53C0931ADA006CCE4540
14127975,1445,32977558,Shared room,,PEEL,,MISSISSAUGA,1,0.0,3,1.0,,40.0,,2017-07-10 08:30:20.483738,43.574474,-79.685106,0101000020E6100000C712D6C6D8EB53C07F33315D88C94540
19330488,1445,96607339,Shared room,,PEEL,,MISSISSAUGA,1,0.0,1,1.0,,20.0,,2017-07-10 08:30:20.481120,43.547889,-79.666954,0101000020E6100000EE7BD45FAFEA53C0486B0C3A21C64540
4484668,1445,4124418,Entire home/apt,,PEEL,,MISSISSAUGA,6,3.0,10,4.0,,400.0,,2017-07-10 08:28:54.343950,43.529455,-79.624511,0101000020E6100000813FFCFCF7E753C012DA722EC5C34540
13307168,1445,26846562,Entire home/apt,,PEEL,,MISSISSAUGA,0,0.0,12,3.0,,194.0,,2017-07-10 08:27:29.420276,43.576284,-79.754798,0101000020E61000008445459C4EF053C0A29A92ACC3C94540
13752595,1445,31263868,Entire home/apt,,PEEL,,MISSISSAUGA,22,5.0,6,2.0,,180.0,,2017-07-10 08:27:27.520718,43.586136,-79.646636,0101000020E6100000A41AF67B62E953C00F81238106CB4540
1518209,1445,2732623,Entire home/apt,,PEEL,,MISSISSAUGA,23,5.0,8,3.0,,293.0,,2017-07-10 08:27:08.204443,43.537521,-79.72971,0101000020E61000001B649291B3EE53C0E4F4F57CCDC44540
4881538,1445,4124418,Entire home/apt,,PEEL,,MISSISSAUGA,2,0.0,4,2.0,,220.0,,2017-07-10 08:25:39.261729,43.588022,-79.64189,0101000020E61000004968CBB914E953C00DAA0D4E44CB4540
14269755,1445,72973814,Entire home/apt,,PEEL,,MISSISSAUGA,31,4.5,8,3.0,,200.0,,2017-07-10 08:25:34.038717,43.574128,-79.740704,0101000020E61000000C01C0B167EF53C0E4DBBB067DC94540
9257320,1445,47855766,Entire home/apt,,PEEL,,MISSISSAUGA,0,0.0,4,2.0,,160.0,,2017-07-10 08:25:32.605173,43.585648,-79.641695,0101000020E61000006EC0E78711E953C0E17B7F83F6CA4540
15789712,1445,57052183,Entire home/apt,,PEEL,,BRAMPTON,1,0.0,8,3.0,,160.0,,2017-07-10 08:25:29.668292,43.675787,-79.766799,0101000020E6100000C1E61C3C13F153C0EE073C3080D64540
6656947,1445,23792645,Entire home/apt,,PEEL,,MISSISSAUGA,1,0.0,4,1.0,,119.0,,2017-07-10 08:25:20.936955,43.595303,-79.635884,0101000020E61000002E03CE52B2E853C0F81A82E332CC4540
17972603,1445,110986914,Entire home/apt,,PEEL,,MISSISSAUGA,4,5.0,4,2.0,,119.0,,2017-07-10 08:25:20.081907,43.58689,-79.644059,0101000020E6100000726C3D4338E953C0BA2C26361FCB4540
15851397,1445,102703020,Entire home/apt,,PEEL,,BRAMPTON,0,0.0,4,4.0,,119.0,,2017-07-10 08:25:16.658276,43.812584,-79.73505,0101000020E610000030BB270F0BEF53C05EA0A4C002E84540
921761,1445,4949269,Entire home/apt,,PEEL,,MISSISSAUGA,9,4.5,5,2.0,,100.0,,2017-07-10 08:25:11.716235,43.586115,-79.644717,0101000020E6100000378B170B43E953C0F758FAD005CB4540
19211380,1445,134435714,Entire home/apt,,PEEL,,MISSISSAUGA,1,0.0,3,1.0,,90.0,,2017-07-10 08:25:07.675780,43.54211,-79.713763,0101000020E61000001286014BAEED53C0D36A48DC63C54540
19556671,1445,993245,Entire home/apt,,PEEL,,MISSISSAUGA,1,0.0,8,3.0,,96.0,,2017-07-10 08:25:07.673555,43.542922,-79.695435,0101000020E61000009A5FCD0182EC53C0B323D5777EC54540
16736054,1445,110986914,Entire home/apt,,PEEL,,MISSISSAUGA,0,0.0,3,1.0,,71.0,,2017-07-10 08:25:05.600441,43.585277,-79.646943,0101000020E610000012D89C8367E953C0ED0C535BEACA4540
16001166,1445,2174817,Entire home/apt,,PEEL,,MISSISSAUGA,15,5.0,5,2.0,,82.0,,2017-07-10 08:24:58.375378,43.579824,-79.563076,0101000020E6100000664AEB6F09E453C0CCB73EAC37CA4540
10124451,1445,33250000,Entire home/apt,,PEEL,,MISSISSAUGA,27,4.5,3,1.0,,72.0,,2017-07-10 08:24:58.363880,43.570621,-79.573269,0101000020E6100000E1B37570B0E453C096B4E21B0AC94540
15039936,1445,79346894,Entire home/apt,,PEEL,,MISSISSAUGA,3,4.5,4,2.0,,63.0,,2017-07-10 08:24:56.690418,43.615344,-79.664639,0101000020E61000005A29047289EA53C019E59997C3CE4540
6049916,1445,31395414,Entire home/apt,,PEEL,,MISSISSAUGA,16,4.5,4,2.0,,76.0,,2017-07-10 08:24:55.243653,43.607303,-79.604249,0101000020E61000000169FF03ACE653C0A0E1CD1ABCCD4540
8906563,1445,21023169,Entire home/apt,,PEEL,,BRAMPTON,14,4.5,3,1.0,,50.0,,2017-07-10 08:24:53.817891,43.728068,-79.812913,0101000020E6100000915F3FC406F453C0CFA10C5531DD4540
6819517,1445,35710626,Entire home/apt,,PEEL,,CALEDON,0,0.0,8,3.0,,599.0,,2017-07-10 08:24:45.437167,43.878682,-79.725091,0101000020E6100000EFE714E467EE53C0BCCADAA678F04540
15279824,1445,97234769,Entire home/apt,,PEEL,,BRAMPTON,0,0.0,6,3.0,,515.0,,2017-07-10 08:24:43.106434,43.747085,-79.729101,0101000020E6100000C79E3D97A9EE53C0842A357BA0DF4540
